condition,policy,switch_latency,n,safe_success_mean,safe_success_ci95,final_success_mean,harmful_contact_mean,harmful_contact_ci95,late_switch_mean,late_switch_ci95,early_false_switch_mean,early_false_switch_ci95,deadline_violation_mean,deadline_violation_ci95,avoidable_lateness_mean,impulse_mean,expected_cost_mean,impulse_p90,expected_cost_p90
early_cue,calibrated_deadline_guard,0.0,240,0.975,0.019753,0.95,0.025,0.019753,0.0125,0.014056,0.025,0.019753,0.0,0.0,0.0,0.190192,0.096735,0.236391,0.042552
early_cue,calibrated_deadline_guard,0.03,240,0.979167,0.01807,0.954167,0.020833,0.01807,0.008333,0.011501,0.020833,0.01807,0.0,0.0,0.0,0.184065,0.083965,0.233169,0.041971
early_cue,calibrated_deadline_guard,0.06,240,0.966667,0.022711,0.929167,0.029167,0.02129,0.016667,0.016197,0.033333,0.022711,0.0,0.0,0.0,0.195412,0.117466,0.241151,0.043403
early_cue,calibrated_deadline_guard,0.09,240,0.975,0.019753,0.954167,0.025,0.019753,0.025,0.019753,0.020833,0.01807,0.004167,0.00815,0.0125,0.19843,0.131134,0.227264,0.040907
early_cue,calibrated_deadline_guard,0.12,240,0.920833,0.03416,0.883333,0.079167,0.03416,0.058333,0.029652,0.058333,0.029652,0.020833,0.01807,0.016667,0.245314,0.280406,0.25044,0.04508
early_cue,calibrated_deadline_guard,0.16,240,0.8375,0.046673,0.820833,0.1625,0.046673,0.158333,0.046186,0.0125,0.014056,0.15,0.045176,0.0375,0.397266,0.569216,1.597843,3.258548
early_cue,calibrated_deadline_guard,0.2,240,0.716667,0.057011,0.691667,0.283333,0.057011,0.279167,0.056754,0.029167,0.02129,0.254167,0.055085,0.041667,0.562468,0.964578,1.682342,3.605032
early_cue,contact_reactive,0.0,240,1.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168846,0.030392,0.22824,0.041085
early_cue,contact_reactive,0.03,240,0.166667,0.04715,0.3,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.113072,2.758686,1.524826,4.059055
early_cue,contact_reactive,0.06,240,0.166667,0.04715,0.291667,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.148287,2.765025,1.579469,4.066219
early_cue,contact_reactive,0.09,240,0.166667,0.04715,0.283333,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.174753,2.769789,1.592523,4.073796
early_cue,contact_reactive,0.12,240,0.166667,0.04715,0.266667,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.2079,2.775755,1.661346,4.077059
early_cue,contact_reactive,0.16,240,0.166667,0.04715,0.241667,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.254483,2.78414,1.716745,4.093038
early_cue,contact_reactive,0.2,240,0.166667,0.04715,0.270833,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.289198,2.790389,1.761242,4.097472
early_cue,deadline_threshold,0.0,240,0.9625,0.024036,0.945833,0.0375,0.024036,0.016667,0.016197,0.0375,0.024036,0.0,0.0,0.0,0.19331,0.127296,0.228193,0.041072
early_cue,deadline_threshold,0.03,240,0.966667,0.022711,0.941667,0.029167,0.02129,0.016667,0.016197,0.033333,0.022711,0.0,0.0,0.0,0.194812,0.118399,0.240792,0.043342
early_cue,deadline_threshold,0.06,240,0.95,0.027574,0.929167,0.045833,0.026458,0.025,0.019753,0.05,0.027574,0.0,0.0,0.004167,0.206786,0.164513,0.244547,0.044021
early_cue,deadline_threshold,0.09,240,0.958333,0.025282,0.916667,0.041667,0.025282,0.0375,0.024036,0.0375,0.024036,0.004167,0.00815,0.016667,0.212033,0.185874,0.237121,0.04268
early_cue,deadline_threshold,0.12,240,0.9,0.037955,0.879167,0.095833,0.037242,0.070833,0.032458,0.083333,0.034968,0.016667,0.016197,0.020833,0.256869,0.34582,0.304,0.154725
early_cue,deadline_threshold,0.16,240,0.833333,0.04715,0.816667,0.1625,0.046673,0.15,0.045176,0.0375,0.024036,0.129167,0.042432,0.045833,0.385651,0.571292,1.492767,3.284801
early_cue,deadline_threshold,0.2,240,0.7125,0.057261,0.675,0.283333,0.057011,0.2625,0.055667,0.054167,0.028637,0.233333,0.053511,0.033333,0.551228,0.943596,1.6512,3.599713
early_cue,fixed_nominal,0.0,240,0.166667,0.04715,0.166667,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.0,0.0,0.0,1.085773,2.753773,1.521338,4.059977
early_cue,fixed_nominal,0.03,240,0.166667,0.04715,0.175,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.111578,2.758417,1.521481,4.065455
early_cue,fixed_nominal,0.06,240,0.166667,0.04715,0.1875,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.132272,2.762142,1.580777,4.064414
early_cue,fixed_nominal,0.09,240,0.166667,0.04715,0.179167,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.172569,2.769396,1.636308,4.07435
early_cue,fixed_nominal,0.12,240,0.166667,0.04715,0.170833,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.204168,2.775084,1.636708,4.078005
early_cue,fixed_nominal,0.16,240,0.166667,0.04715,0.166667,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.25567,2.784354,1.713172,4.091497
early_cue,fixed_nominal,0.2,240,0.166667,0.04715,0.170833,0.833333,0.04715,0.833333,0.04715,0.0,0.0,0.833333,0.04715,0.0,1.282641,2.789209,1.726628,4.097557
early_cue,oracle_precontact,0.0,240,1.0,0.0,0.945833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169706,0.030547,0.231522,0.041673
early_cue,oracle_precontact,0.03,240,1.0,0.0,0.941667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168615,0.030351,0.229131,0.041242
early_cue,oracle_precontact,0.06,240,1.0,0.0,0.954167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167895,0.030221,0.221345,0.039844
early_cue,oracle_precontact,0.09,240,1.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171606,0.030889,0.230603,0.041505
early_cue,oracle_precontact,0.12,240,1.0,0.0,0.970833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171533,0.030876,0.2263,0.040734
early_cue,oracle_precontact,0.16,240,1.0,0.0,0.966667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170461,0.030683,0.237774,0.0428
early_cue,oracle_precontact,0.2,240,1.0,0.0,0.966667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16996,0.030593,0.23912,0.043045
early_cue,posterior_fixed,0.0,240,0.991667,0.011501,0.975,0.008333,0.011501,0.0,0.0,0.008333,0.011501,0.0,0.0,0.0,0.172317,0.042684,0.219335,0.039477
early_cue,posterior_fixed,0.03,240,0.9875,0.014056,0.954167,0.0125,0.014056,0.004167,0.00815,0.0125,0.014056,0.0,0.0,0.0,0.179263,0.060601,0.231085,0.041596
early_cue,posterior_fixed,0.06,240,0.979167,0.01807,0.966667,0.020833,0.01807,0.0125,0.014056,0.020833,0.01807,0.0,0.0,0.0,0.183403,0.089679,0.238014,0.042843
early_cue,posterior_fixed,0.09,240,0.979167,0.01807,0.9375,0.020833,0.01807,0.020833,0.01807,0.020833,0.01807,0.008333,0.011501,0.0125,0.19108,0.115644,0.22963,0.041331
early_cue,posterior_fixed,0.12,240,0.958333,0.025282,0.933333,0.0375,0.024036,0.029167,0.02129,0.029167,0.02129,0.033333,0.022711,0.008333,0.21271,0.153288,0.238494,0.042926
early_cue,posterior_fixed,0.16,240,0.833333,0.04715,0.808333,0.166667,0.04715,0.1625,0.046673,0.004167,0.00815,0.166667,0.04715,0.070833,0.405529,0.585703,1.603008,3.289692
early_cue,posterior_fixed,0.2,240,0.683333,0.058853,0.654167,0.316667,0.058853,0.316667,0.058853,0.008333,0.011501,0.3125,0.058642,0.095833,0.626335,1.097949,1.711233,3.705307
early_cue,posterior_tuned,0.0,240,0.954167,0.026458,0.933333,0.041667,0.025282,0.020833,0.01807,0.045833,0.026458,0.0,0.0,0.0,0.20375,0.150008,0.236964,0.042651
early_cue,posterior_tuned,0.03,240,0.966667,0.022711,0.933333,0.033333,0.022711,0.016667,0.016197,0.033333,0.022711,0.0,0.0,0.0,0.193786,0.122382,0.240291,0.043255
early_cue,posterior_tuned,0.06,240,0.9625,0.024036,0.945833,0.033333,0.022711,0.016667,0.016197,0.0375,0.024036,0.0,0.0,0.0,0.199656,0.124063,0.242709,0.043691
early_cue,posterior_tuned,0.09,240,0.958333,0.025282,0.920833,0.0375,0.024036,0.033333,0.022711,0.041667,0.025282,0.004167,0.00815,0.0125,0.206455,0.179037,0.239674,0.043146
early_cue,posterior_tuned,0.12,240,0.916667,0.034968,0.9,0.079167,0.03416,0.058333,0.029652,0.070833,0.032458,0.020833,0.01807,0.020833,0.247258,0.297631,0.26461,0.047627
