condition,objective,conf,margin,safe_success_rate,harmful_contact_rate,late_switch_rate,expected_cost_mean
early_cue,safe,0.54,0.04,0.7569444444444444,0.2361111111111111,0.1875,0.8514930555555558
early_cue,safe,0.54,0.12,0.7569444444444444,0.2361111111111111,0.1875,0.8514930555555558
early_cue,safe,0.54,0.22,0.7638888888888888,0.22916666666666666,0.18055555555555555,0.8224536111111114
early_cue,safe,0.54,0.34,0.7847222222222222,0.20833333333333334,0.1597222222222222,0.7390224305555556
early_cue,safe,0.64,0.04,0.8055555555555556,0.1875,0.1388888888888889,0.6347925694444445
early_cue,safe,0.64,0.12,0.8055555555555556,0.1875,0.1388888888888889,0.6347925694444445
early_cue,safe,0.64,0.22,0.8055555555555556,0.1875,0.1388888888888889,0.6347925694444445
early_cue,safe,0.64,0.34,0.8055555555555556,0.1875,0.1388888888888889,0.6347925694444445
early_cue,safe,0.74,0.04,0.8263888888888888,0.16666666666666666,0.13194444444444445,0.5723309722222223
early_cue,safe,0.74,0.12,0.8263888888888888,0.16666666666666666,0.13194444444444445,0.5723309722222223
early_cue,safe,0.74,0.22,0.8263888888888888,0.16666666666666666,0.13194444444444445,0.5723309722222223
early_cue,safe,0.74,0.34,0.8263888888888888,0.16666666666666666,0.13194444444444445,0.5723309722222223
early_cue,safe,0.84,0.04,0.8472222222222222,0.14583333333333334,0.11805555555555555,0.4824874999999999
early_cue,safe,0.84,0.12,0.8472222222222222,0.14583333333333334,0.11805555555555555,0.4824874999999999
early_cue,safe,0.84,0.22,0.8472222222222222,0.14583333333333334,0.11805555555555555,0.4824874999999999
early_cue,safe,0.84,0.34,0.8472222222222222,0.14583333333333334,0.11805555555555555,0.4824874999999999
early_cue,safe,0.94,0.04,0.8472222222222222,0.14583333333333334,0.1388888888888889,0.5186838194444445
early_cue,safe,0.94,0.12,0.8472222222222222,0.14583333333333334,0.1388888888888889,0.5186838194444445
early_cue,safe,0.94,0.22,0.8472222222222222,0.14583333333333334,0.1388888888888889,0.5186838194444445
early_cue,safe,0.94,0.34,0.8472222222222222,0.14583333333333334,0.1388888888888889,0.5186838194444445
